,averageFitness
0,-2.9
1,-1.6
2,-0.6
3,-2.6
4,-1.2333333333333334
5,-1.0666666666666667
6,-0.9
7,-1.3
8,-1.1
9,-2.0
10,-1.1333333333333333
11,-0.9
12,-0.3
13,-1.6
14,-0.5666666666666667
15,-1.7
16,-1.3333333333333333
17,-1.8
18,-0.3
19,-0.7
20,-1.0
21,-0.2
22,-0.3333333333333333
23,-1.1
24,-0.7
25,-0.3
26,-1.6333333333333333
27,-0.8333333333333334
28,0.4666666666666667
29,-0.4
30,-1.4333333333333333
31,-1.0333333333333334
32,0.1
33,-1.2
34,-0.23333333333333334
35,-0.8
36,-0.9
37,-2.1
38,-2.6
39,-0.2
40,-0.8
41,-0.1
42,-0.3
43,-0.8
44,-0.9666666666666667
45,-1.2
46,-1.1
47,0.9
48,0.0
49,0.1
50,0.0
51,0.06666666666666667
52,-0.9
53,-0.8
54,-0.2
55,-0.6333333333333333
56,0.16666666666666666
57,0.1
58,0.2
59,-1.3
60,-0.43333333333333335
61,-0.43333333333333335
62,-0.7
63,-1.1
64,-0.43333333333333335
65,-0.43333333333333335
66,-0.2
67,0.2
68,-0.7
69,-0.2
70,-1.0
71,-0.5
72,0.5
73,0.7
74,0.5666666666666667
75,-0.4
76,-0.4
77,-1.1
78,-0.9
79,-0.2
80,-0.23333333333333334
81,0.6
82,-0.7333333333333333
83,-0.6
84,-0.6
85,-0.13333333333333333
86,0.36666666666666664
87,-1.2
88,-0.8333333333333334
89,-1.7
90,0.2
91,0.06666666666666667
92,-0.6333333333333333
93,0.8
94,0.6
95,0.6
96,-0.3
97,0.2
98,-0.7
99,0.2
100,0.5666666666666667
101,-0.9
102,-1.0
103,-2.0
104,0.6
105,-0.23333333333333334
106,-0.5
107,-0.2
108,0.7666666666666667
109,-0.2
110,-0.8
111,-0.3
112,-0.9333333333333333
113,0.8
114,-1.5333333333333334
115,-0.9666666666666667
116,-0.3
117,0.0
118,0.5
119,-0.9
120,0.06666666666666667
121,-1.1
122,-0.4
123,-0.4
124,-1.2333333333333334
125,-1.7666666666666666
126,0.8
127,1.4
128,0.7
129,-0.6333333333333333
130,0.3
131,0.3
132,0.8333333333333334
133,1.1666666666666667
134,1.6
135,1.0
136,1.8
137,1.6
138,0.06666666666666667
139,1.5
140,0.9666666666666667
141,0.16666666666666666
142,0.6
143,-0.13333333333333333
144,0.7
145,-0.4
146,0.26666666666666666
147,0.2
148,-0.13333333333333333
149,-0.1
150,-0.3
151,0.6
152,-0.6666666666666666
153,2.2666666666666666
154,1.6
155,0.6
156,0.36666666666666664
157,1.1
158,0.7
159,0.1
160,1.2
161,0.7
162,0.9
163,1.4666666666666666
164,1.5666666666666667
165,2.0
166,1.7
167,1.4
168,2.1666666666666665
169,2.2
170,2.8
171,2.3
172,1.5
173,3.4
174,3.7
175,2.7666666666666666
176,2.5
177,2.9
178,2.2
179,2.0
180,3.3
181,2.3
182,2.3666666666666667
183,3.1
184,1.8
185,3.5
186,2.8
187,3.3
188,3.3
189,2.2
190,2.3
191,2.5
192,2.2
193,2.7
194,2.6
195,3.4
196,3.0
197,3.5
198,2.8
199,4.1
200,4.1
201,3.2
202,2.1666666666666665
203,3.966666666666667
204,3.2
205,2.3
206,3.2
207,3.2
208,4.4
209,4.2
210,3.8666666666666667
211,3.4
212,4.1
213,3.6
214,4.3
215,3.5
216,4.1
217,4.0
218,4.2
219,3.6
220,4.166666666666667
221,3.3
222,3.3666666666666667
223,3.6
224,3.9
225,3.8
226,3.6
227,3.2
228,3.1
229,3.4
230,3.7
231,3.5
232,3.2
233,2.8
234,3.066666666666667
235,3.2
236,3.6
237,3.9
238,3.7
239,4.3
240,3.7
241,3.7
242,3.466666666666667
243,4.0
244,4.2
245,3.9
246,3.4
247,3.1
248,3.066666666666667
249,3.9
250,3.8
251,3.8
252,4.0
253,3.7
254,3.8666666666666667
255,3.9
256,4.0
257,3.6
258,3.966666666666667
259,3.4
260,3.7
261,3.7
262,3.6
263,3.6
264,3.4
265,3.6
266,3.2666666666666666
267,3.3
268,3.0
269,2.1
270,2.8
271,2.7
272,2.5
273,3.0
274,3.6
275,3.1
276,3.1
277,2.6
278,3.3
279,3.0
280,2.7
281,2.9
282,2.4
283,3.9
284,2.5
285,2.8
286,2.3
287,2.5
288,2.8
289,2.5
290,2.7666666666666666
291,2.7
292,2.6
293,3.5
294,2.1666666666666665
295,2.4
296,3.1
297,3.6
298,3.4
299,3.6
300,2.3
301,3.5
302,2.8
303,3.1
304,3.7
305,3.3666666666666667
306,3.9
307,3.566666666666667
308,3.5
309,3.7
310,3.8666666666666667
311,3.1666666666666665
312,3.8
313,2.9
314,3.566666666666667
315,3.0
316,2.966666666666667
317,2.6
318,2.5
319,2.466666666666667
320,1.9
321,3.0
322,3.1
323,3.4
324,3.5
325,2.6
326,2.5
327,3.8
328,4.1
329,2.3
330,3.6666666666666665
331,3.9
332,3.9
333,3.5
334,3.2
335,3.5
336,2.4
337,3.4
338,2.566666666666667
339,3.3
340,3.2
341,3.0
342,3.2
343,3.1666666666666665
344,3.1
345,3.7666666666666666
346,3.5
347,2.7
348,3.7
349,4.166666666666667
350,3.7666666666666666
351,4.0
352,3.4
353,3.5
354,3.4
355,3.6
356,4.5
357,4.7
358,3.6666666666666665
359,4.1
360,3.9
361,3.7
362,2.7
363,2.4
364,3.6
365,3.5
366,4.3
367,4.0
368,4.0
369,3.5
370,4.4
371,4.1
372,4.5
373,4.5
374,4.5
375,4.2
376,4.4
377,4.7
378,4.7
379,4.2
380,4.3
381,4.4
382,4.0
383,4.9
384,4.566666666666666
385,4.2
386,4.5
387,3.7666666666666666
388,3.6
389,2.9
390,4.3
