,averageFitness
391,3.4
392,4.0
393,3.6
394,3.2
395,3.5
396,4.0
397,3.5
398,3.7
399,4.1
400,3.8
401,3.6
402,3.5
403,4.1
404,4.0
405,3.8
406,3.6
407,3.7
408,2.9
409,4.0
410,3.4
411,3.6
412,3.8666666666666667
413,3.9
414,3.4
415,2.7
416,2.8
417,3.4
418,3.3
419,3.0
420,3.5
421,3.0
422,4.0
423,2.7333333333333334
424,3.7
425,4.1
426,3.7
427,4.066666666666666
428,3.3
429,3.2
430,2.9
431,3.4
432,3.4
433,3.9
434,3.1
435,3.3666666666666667
436,3.2
437,3.7
438,2.9
439,3.1
440,3.9
441,3.4
442,3.7
443,3.1
444,3.7
445,3.8
446,3.9
447,2.7333333333333334
448,3.8
449,3.7
450,3.8
451,3.6
452,3.9
453,3.8666666666666667
454,3.533333333333333
455,3.3
456,3.9
457,2.966666666666667
458,3.566666666666667
459,1.8
460,2.6
461,2.2
462,3.4
463,3.3
464,3.7
465,3.9
466,3.3
467,2.7
468,2.7
469,3.6
470,2.9
471,3.6
472,3.2
473,2.466666666666667
474,2.3
475,2.0
476,2.4
477,3.5
478,3.6
479,4.2
480,4.1
481,3.8
482,4.2
483,4.3
484,3.2
485,4.0
486,3.6
487,3.7666666666666666
488,4.233333333333333
489,4.0
490,3.9
491,4.2
492,3.4
493,3.7
494,3.6
495,3.7
496,3.7
497,3.8
498,4.4
499,4.4
500,4.2
501,4.566666666666666
502,4.3
503,4.6
504,4.5
505,4.8
506,4.7
507,4.6
508,4.6
509,4.5
510,4.9
511,4.5
512,4.2
513,4.7
514,4.6
515,4.8
516,4.6
517,4.6
518,4.9
519,4.2
520,4.3
521,4.8
522,4.5
523,4.6
524,4.0
525,4.2
526,4.4
527,4.566666666666666
528,4.7
529,4.3
530,4.166666666666667
531,4.7
532,3.9
533,3.3
534,4.2
535,3.8
536,4.1
537,4.3
538,4.3
539,3.7
540,4.9
541,4.3
542,4.7
543,4.6
544,4.6
545,4.5
546,4.9
547,4.6
548,4.8
549,4.4
550,5.0
551,4.9
552,5.0
553,4.8
554,4.8
555,4.6
556,5.0
557,4.8
558,4.9
559,4.9
560,4.8
561,4.9
562,4.9
563,4.8
564,4.7
565,4.8
566,4.9
567,4.7
568,4.8
569,4.8
570,4.9
571,4.9
572,4.9
573,4.9
574,4.7
575,4.4
576,4.5
577,4.6
578,4.9
579,5.0
580,4.866666666666666
581,4.8
582,4.7
583,5.0
584,4.9
585,4.7
586,4.6
587,4.7
588,4.3
589,4.7
590,4.5
591,4.9
592,4.7
593,5.0
594,4.8
595,4.8
596,4.6
597,4.6
598,5.0
599,4.8
600,4.9
601,4.7
602,4.9
603,4.9
604,4.9
605,5.0
606,4.8
607,4.7
608,4.9
609,5.0
610,4.9
611,4.7
612,4.9
613,4.6
614,4.9
615,5.0
616,4.6
617,5.0
618,4.9
619,4.8
620,4.5
621,4.8
622,4.8
623,4.6
624,5.0
625,4.7
626,5.0
627,4.8
628,4.9
629,4.9
630,4.9
631,4.6
632,4.9
633,4.9
634,5.0
635,4.5
636,4.7
637,4.3
638,4.6
639,4.7
640,4.8
641,4.866666666666666
642,4.7
643,4.8
644,4.9
645,4.7
646,5.0
647,4.8
648,4.9
649,4.9
650,4.8
651,5.0
652,4.7
653,5.0
654,4.8
655,5.0
656,5.0
657,4.1
658,4.8
659,5.0
660,5.0
661,4.8
662,4.6
663,4.9
664,4.3
665,4.3
666,4.4
667,4.6
668,4.8
669,5.0
670,4.8
671,4.6
672,4.3
673,4.6
674,4.8
675,4.7
676,4.7
677,5.0
678,4.8
679,4.7
680,4.8
681,4.7
682,4.7
683,4.4
684,4.5
685,4.6
686,4.9
687,4.8
688,4.6
689,4.8
690,4.6
691,4.8
692,5.0
693,4.5
694,4.7
695,4.6
696,4.4
697,5.0
698,4.9
699,4.9
700,4.9
701,4.5
702,4.9
703,4.9
704,4.7
705,4.7
706,4.6
707,4.7
708,4.9
709,5.0
710,4.8
711,4.6
712,4.7
713,4.9
714,4.6
715,5.0
716,4.9
717,4.6
718,4.8
719,4.8
720,4.6
721,4.766666666666667
722,5.0
723,5.0
724,5.0
725,4.9
726,4.9
727,4.7
728,4.7
729,4.9
730,4.7
731,5.0
732,4.8
733,4.8
734,4.6
735,4.9
736,4.5
737,4.9
738,4.8
739,5.0
740,4.666666666666667
741,4.8
742,5.0
743,4.6
744,4.7
745,4.8
746,5.0
747,4.8
748,4.8
749,4.9
750,4.9
751,4.6
752,4.6
753,4.6
754,4.8
755,5.0
756,4.9
757,4.8
758,4.8
759,4.8
760,5.0
761,4.9
762,4.7
763,4.4
764,5.0
765,4.8
766,4.9
767,4.9
768,4.8
769,4.9
770,4.7
771,4.5
772,5.0
773,5.0
774,5.0
775,4.9
776,4.9
777,4.8
778,4.866666666666666
779,4.9
780,4.8
781,5.0
782,4.7
783,5.0
784,4.9
785,4.8
786,4.9
787,5.0
788,5.0
789,5.0
790,4.9
791,5.0
792,5.0
793,5.0
794,4.7
795,5.0
796,4.9
797,4.6
798,4.8
799,4.8
800,4.9
801,4.5
802,4.5
803,5.0
804,5.0
805,4.8
806,5.0
807,4.7
808,5.0
809,5.0
810,4.7
811,5.0
812,4.9
813,4.3
814,4.9
815,5.0
816,5.0
817,5.0
818,5.0
819,4.9
820,5.0
821,5.0
822,4.9
823,5.0
824,4.766666666666667
825,4.9
826,4.8
827,5.0
828,4.7
829,4.9
830,5.0
831,4.5
832,4.9
833,4.8
834,5.0
835,5.0
836,4.9
837,4.9
838,5.0
839,5.0
